,TeamID,Key,Active,School,Name,ApRank,Wins,Losses,ConferenceWins,ConferenceLosses,GlobalTeamID,ConferenceID,Conference,TeamLogoUrl,ShortDisplayName,Stadium
0,1,SMU,True,SMU,Mustangs,,20.0,7.0,11.0,4.0,60000001,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/1.png,SMU,"{'StadiumID': 101, 'Active': True, 'Name': 'Moody Coliseum', 'Address': None, 'City': 'Dallas', 'State': 'TX', 'Zip': None, 'Country': None, 'Capacity': 7000, 'GeoLat': 32.840278, 'GeoLong': -96.780556}"
1,2,TEMPL,True,Temple,Owls,,16.0,10.0,9.0,6.0,60000002,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/2.png,TEMPLE,"{'StadiumID': 45, 'Active': True, 'Name': 'Liacouras Center', 'Address': None, 'City': 'Philadelphia', 'State': 'PA', 'Zip': None, 'Country': None, 'Capacity': 10206, 'GeoLat': 39.979722, 'GeoLong': -75.158611}"
2,3,UCONN,True,Connecticut,Huskies,18.0,21.0,7.0,12.0,5.0,60000003,6.0,Big East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/3.png,UCONN,"{'StadiumID': 290, 'Active': True, 'Name': 'Gampel Pavilion', 'Address': None, 'City': 'Storrs', 'State': 'CT', 'Zip': None, 'Country': None, 'Capacity': 10167, 'GeoLat': 41.805292, 'GeoLong': -72.254194}"
3,4,CIN,True,Cincinnati,Bearcats,,17.0,12.0,7.0,9.0,60000004,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/4.png,CIN,"{'StadiumID': 86, 'Active': True, 'Name': 'Fifth Third Arena', 'Address': None, 'City': 'Cincinnati', 'State': 'OH', 'Zip': None, 'Country': None, 'Capacity': 12012, 'GeoLat': 39.131101, 'GeoLong': -84.514207}"
4,5,TULSA,True,Tulsa,Golden Hurricane,,9.0,18.0,3.0,13.0,60000005,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/5.png,TULSA,"{'StadiumID': 48, 'Active': True, 'Name': 'Reynolds Center', 'Address': None, 'City': 'Tulsa', 'State': 'OK', 'Zip': None, 'Country': None, 'Capacity': 8355, 'GeoLat': 36.148611, 'GeoLong': -95.941944}"
5,6,HOU,True,Houston,Cougars,14.0,24.0,4.0,13.0,2.0,60000006,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/6.png,UH,"{'StadiumID': 343, 'Active': True, 'Name': 'Fertitta Center', 'Address': None, 'City': 'Houston', 'State': 'TX', 'Zip': None, 'Country': None, 'Capacity': 7100, 'GeoLat': 29.724722, 'GeoLong': -95.346944}"
6,7,MPHS,True,Memphis,Tigers,,17.0,9.0,11.0,5.0,60000007,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/7.png,MEM,"{'StadiumID': 47, 'Active': True, 'Name': 'FedExForum', 'Address': None, 'City': 'Memphis', 'State': 'TN', 'Zip': None, 'Country': None, 'Capacity': 18400, 'GeoLat': 35.138333, 'GeoLong': -90.050556}"
7,8,UCF,True,UCF,Knights,,17.0,9.0,9.0,7.0,60000008,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/8.png,UCF,"{'StadiumID': 20, 'Active': True, 'Name': 'Addition Financial Arena', 'Address': None, 'City': 'Orlando', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 10000, 'GeoLat': 28.6068, 'GeoLong': -81.1976}"
8,9,ECAR,True,East Carolina,Pirates,,15.0,13.0,6.0,10.0,60000009,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/9.png,ECU,"{'StadiumID': 46, 'Active': True, 'Name': 'Minges Coliseum', 'Address': None, 'City': 'Greenville', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 7100, 'GeoLat': 35.597391, 'GeoLong': -77.367167}"
9,10,TULANE,True,Tulane,Green Wave,,12.0,13.0,9.0,7.0,60000010,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/10.png,TULANE,"{'StadiumID': 176, 'Active': True, 'Name': 'Devlin Fieldhouse', 'Address': None, 'City': 'New Orleans', 'State': 'LA', 'Zip': None, 'Country': None, 'Capacity': 4100, 'GeoLat': 29.938611, 'GeoLong': -90.120556}"
10,11,SFL,True,South Florida,Bulls,,8.0,20.0,3.0,13.0,60000011,1.0,American Athletic,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/11.png,USF,"{'StadiumID': 21, 'Active': True, 'Name': 'Yuengling Center', 'Address': None, 'City': 'Tampa', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 10411, 'GeoLat': 28.059236, 'GeoLong': -82.406472}"
11,12,STBR,True,Stony Brook,Seawolves,,17.0,13.0,9.0,8.0,60000012,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/12.png,STBR,"{'StadiumID': 339, 'Active': True, 'Name': 'Island FCU Arena', 'Address': None, 'City': 'Stony Brook', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 4000, 'GeoLat': 40.91741, 'GeoLong': -73.125955}"
12,13,ALBNY,True,Albany,Great Danes,,13.0,16.0,9.0,8.0,60000013,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/13.png,ALBANY,"{'StadiumID': 215, 'Active': True, 'Name': 'SEFCU Arena', 'Address': None, 'City': 'Albany', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 4280, 'GeoLat': 42.681667, 'GeoLong': -73.828333}"
13,14,NHAMP,True,New Hampshire,Wildcats,,14.0,12.0,9.0,8.0,60000014,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/14.png,UNH,"{'StadiumID': 231, 'Active': True, 'Name': 'Lundholm Gymnasium', 'Address': None, 'City': 'Durham', 'State': 'NH', 'Zip': None, 'Country': None, 'Capacity': 2500, 'GeoLat': 43.138611, 'GeoLong': -70.938056}"
14,15,VERM,True,Vermont,Catamounts,,24.0,5.0,16.0,1.0,60000015,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/15.png,UVM,"{'StadiumID': 252, 'Active': True, 'Name': 'Patrick Gymnasium', 'Address': None, 'City': 'Burlington', 'State': 'VT', 'Zip': None, 'Country': None, 'Capacity': 3266, 'GeoLat': 44.470264, 'GeoLong': -73.194705}"
15,16,MASLOW,True,Massachusetts-Lowell,River Hawks,,14.0,14.0,6.0,10.0,60000016,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/16.png,MASLOW,"{'StadiumID': 147, 'Active': True, 'Name': 'Costello Athletic Center', 'Address': None, 'City': 'Lowell', 'State': 'MA', 'Zip': None, 'Country': None, 'Capacity': 2000, 'GeoLat': 42.6555, 'GeoLong': -71.3242}"
16,17,MAINE,True,Maine,Black Bears,,6.0,22.0,3.0,14.0,60000017,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/17.png,MAINE,"{'StadiumID': 298, 'Active': True, 'Name': 'Cross Insurance Center', 'Address': None, 'City': 'Bangor', 'State': 'ME', 'Zip': None, 'Country': None, 'Capacity': 6674, 'GeoLat': 44.7893, 'GeoLong': -68.7787}"
17,18,HARTFD,True,Hartford,Hawks,,10.0,18.0,8.0,8.0,60000018,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/18.png,HARTFD,"{'StadiumID': 27, 'Active': True, 'Name': 'Chase Arena', 'Address': None, 'City': 'West Hartford', 'State': 'CT', 'Zip': None, 'Country': None, 'Capacity': 3507, 'GeoLat': 41.801769, 'GeoLong': -72.718567}"
18,19,UMBC,True,UMBC,Retrievers,,15.0,13.0,10.0,7.0,60000019,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/19.png,UMBC,"{'StadiumID': 449, 'Active': True, 'Name': 'UMBC Event Center', 'Address': None, 'City': 'Baltimore', 'State': 'MD', 'Zip': None, 'Country': None, 'Capacity': 6000, 'GeoLat': 39.252342, 'GeoLong': -76.707431}"
19,20,BING,True,Binghamton,Bearcats,,11.0,15.0,8.0,9.0,60000020,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/20.png,BING,"{'StadiumID': 52, 'Active': True, 'Name': 'Events Center (Binghamton)', 'Address': None, 'City': 'Binghamton', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 5142, 'GeoLat': 42.093333, 'GeoLong': -75.971944}"
20,21,NCAR,True,North Carolina,Tar Heels,,22.0,8.0,14.0,5.0,60000021,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/21.png,UNC,"{'StadiumID': 185, 'Active': True, 'Name': 'Dean E. Smith Center', 'Address': None, 'City': 'Chapel Hill', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 21750, 'GeoLat': 35.899722, 'GeoLong': -79.043889}"
21,22,VIR,True,Virginia,Cavaliers,,17.0,12.0,11.0,8.0,60000022,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/22.png,VIR,"{'StadiumID': 4, 'Active': True, 'Name': 'John Paul Jones Arena', 'Address': None, 'City': 'Charlottesville', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 14593, 'GeoLat': 38.046, 'GeoLong': -78.507}"
22,23,MIA,True,Miami (FL),Hurricanes,,20.0,9.0,12.0,6.0,60000023,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/23.png,MIA,"{'StadiumID': 115, 'Active': True, 'Name': 'Watsco Center', 'Address': None, 'City': 'Coral Gables', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 7972, 'GeoLat': 25.715, 'GeoLong': -80.279167}"
23,24,LOU,True,Louisville,Cardinals,,12.0,16.0,6.0,12.0,60000024,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/24.png,LOU,"{'StadiumID': 97, 'Active': True, 'Name': 'KFC Yum! Center', 'Address': None, 'City': 'Louisville', 'State': 'KY', 'Zip': None, 'Country': None, 'Capacity': 22000, 'GeoLat': 38.2575, 'GeoLong': -85.753889}"
24,25,ND,True,Notre Dame,Fighting Irish,,21.0,8.0,14.0,4.0,60000025,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/25.png,ND,"{'StadiumID': 32, 'Active': True, 'Name': 'Purcell Pavilion', 'Address': None, 'City': 'South Bend', 'State': 'IN', 'Zip': None, 'Country': None, 'Capacity': 9149, 'GeoLat': 41.698443, 'GeoLong': -86.231292}"
25,26,DUKE,True,Duke,Blue Devils,4.0,25.0,4.0,15.0,3.0,60000026,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/26.png,DUKE,"{'StadiumID': 211, 'Active': True, 'Name': 'Cameron Indoor Stadium', 'Address': None, 'City': 'Durham', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 9314, 'GeoLat': 35.9976, 'GeoLong': -78.9422}"
26,27,CLMSN,True,Clemson,Tigers,,14.0,15.0,6.0,12.0,60000027,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/27.png,CLEM,"{'StadiumID': 13, 'Active': True, 'Name': 'Littlejohn Coliseum', 'Address': None, 'City': 'Clemson', 'State': 'SC', 'Zip': None, 'Country': None, 'Capacity': 9000, 'GeoLat': 34.680278, 'GeoLong': -82.846389}"
27,28,PITT,True,Pittsburgh,Panthers,,11.0,18.0,6.0,12.0,60000028,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/28.png,PITT,"{'StadiumID': 31, 'Active': True, 'Name': 'Petersen Events Center', 'Address': None, 'City': 'Pittsburgh', 'State': 'PA', 'Zip': None, 'Country': None, 'Capacity': 12508, 'GeoLat': 40.443777, 'GeoLong': -79.962274}"
28,29,FLST,True,Florida State,Seminoles,,15.0,13.0,8.0,10.0,60000029,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/29.png,FSU,"{'StadiumID': 11, 'Active': True, 'Name': 'Donald L. Tucker Center', 'Address': None, 'City': 'Tallahassee', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 11500, 'GeoLat': 30.437842, 'GeoLong': -84.28669}"
29,30,SYRA,True,Syracuse,Orange,,15.0,15.0,9.0,10.0,60000030,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/30.png,SYRA,"{'StadiumID': 10, 'Active': True, 'Name': 'Carrier Dome', 'Address': None, 'City': 'Syracuse', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 35446, 'GeoLat': 43.036111, 'GeoLong': -76.136389}"
30,31,VTECH,True,Virginia Tech,Hokies,,18.0,11.0,10.0,8.0,60000031,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/31.png,VTECH,"{'StadiumID': 107, 'Active': True, 'Name': 'Cassell Coliseum', 'Address': None, 'City': 'Blacksburg', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 8925, 'GeoLat': 37.222222, 'GeoLong': -80.418889}"
31,32,GTECH,True,Georgia Tech,Yellow Jackets,,11.0,18.0,4.0,14.0,60000032,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/32.png,GTECH,"{'StadiumID': 129, 'Active': True, 'Name': 'McCamish Pavilion', 'Address': None, 'City': 'Atlanta', 'State': 'GA', 'Zip': None, 'Country': None, 'Capacity': 8600, 'GeoLat': 33.780833, 'GeoLong': -84.392778}"
32,33,NCST,True,North Carolina State,Wolfpack,,11.0,18.0,4.0,14.0,60000033,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/33.png,NCSU,"{'StadiumID': 145, 'Active': True, 'Name': 'PNC Arena', 'Address': None, 'City': 'Raleigh', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 19722, 'GeoLat': 35.803333, 'GeoLong': -78.721944}"
33,34,WAKE,True,Wake Forest,Demon Deacons,,22.0,8.0,12.0,7.0,60000034,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/34.png,WAKE,"{'StadiumID': 152, 'Active': True, 'Name': 'Lawrence Joel Coliseum', 'Address': None, 'City': 'Winston-Salem', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 14665, 'GeoLat': 36.127866, 'GeoLong': -80.257628}"
34,35,BOSCOL,True,Boston College,Eagles,,11.0,17.0,6.0,12.0,60000035,3.0,Atlantic Coast,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/35.png,BC,"{'StadiumID': 30, 'Active': True, 'Name': 'Silvio Conte Forum', 'Address': None, 'City': 'Chestnut Hill', 'State': 'MA', 'Zip': None, 'Country': None, 'Capacity': 8606, 'GeoLat': 42.335, 'GeoLong': -71.1675}"
35,36,NFL,True,North Florida,Ospreys,,11.0,19.0,7.0,9.0,60000036,4.0,Atlantic Sun,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/36.png,NFL,"{'StadiumID': 317, 'Active': True, 'Name': 'UNF Arena', 'Address': None, 'City': 'Jacksonville', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 5800, 'GeoLat': 30.2734, 'GeoLong': -81.5079}"
36,37,JAX,True,Jacksonville,Dolphins,,19.0,9.0,11.0,5.0,60000037,4.0,Atlantic Sun,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/37.png,JAX,"{'StadiumID': 35, 'Active': True, 'Name': 'Swisher Gymnasium', 'Address': None, 'City': 'Jacksonville', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 1452, 'GeoLat': 30.350278, 'GeoLong': -81.605}"
37,38,FLGC,True,Florida Gulf Coast,Eagles,,20.0,10.0,10.0,6.0,60000038,4.0,Atlantic Sun,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/38.png,FLGC,"{'StadiumID': 307, 'Active': True, 'Name': 'Alico Arena', 'Address': None, 'City': 'Fort Myers', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 4633, 'GeoLat': 26.471111, 'GeoLong': -81.764722}"
38,39,NJIT,True,NJIT,Highlanders,,11.0,16.0,6.0,11.0,60000039,2.0,America East,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/39.png,NJIT,"{'StadiumID': 28, 'Active': True, 'Name': 'NJIT Wellness and Events Center', 'Address': None, 'City': 'Newark', 'State': 'NJ', 'Zip': None, 'Country': None, 'Capacity': 3500, 'GeoLat': 40.743125, 'GeoLong': -74.182161}"
39,40,LIPSC,True,Lipscomb,Bisons,,13.0,18.0,6.0,10.0,60000040,4.0,Atlantic Sun,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/40.png,LIPSC,"{'StadiumID': 156, 'Active': True, 'Name': 'Allen Arena', 'Address': None, 'City': 'Nashville', 'State': 'TN', 'Zip': None, 'Country': None, 'Capacity': 5028, 'GeoLat': 36.103833, 'GeoLong': -86.798836}"
40,41,STETSN,True,Stetson,Hatters,,11.0,18.0,5.0,11.0,60000041,4.0,Atlantic Sun,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/41.png,STETSN,"{'StadiumID': 264, 'Active': True, 'Name': 'Edmunds Center', 'Address': None, 'City': 'Deland', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 4000, 'GeoLat': 29.039584, 'GeoLong': -81.301819}"
41,42,KENEST,True,Kennesaw State,Owls,,12.0,17.0,7.0,9.0,60000042,4.0,Atlantic Sun,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/42.png,KENEST,"{'StadiumID': 275, 'Active': True, 'Name': 'KSU Convocation Center', 'Address': None, 'City': 'Kennesaw', 'State': 'GA', 'Zip': None, 'Country': None, 'Capacity': 4800, 'GeoLat': 34.036924, 'GeoLong': -84.580329}"
42,43,SCUP,True,USC Upstate,Spartans,,13.0,15.0,10.0,6.0,60000043,8.0,Big South,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/43.png,USCU,"{'StadiumID': 303, 'Active': True, 'Name': 'Hodge Center', 'Address': None, 'City': 'Spartanburg', 'State': 'SC', 'Zip': None, 'Country': None, 'Capacity': 833, 'GeoLat': 34.996696, 'GeoLong': -81.968774}"
43,44,DAY,True,Dayton,Flyers,,20.0,9.0,12.0,4.0,60000044,5.0,Atlantic 10,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/44.png,DAYTON,"{'StadiumID': 87, 'Active': True, 'Name': 'University of Dayton Arena', 'Address': None, 'City': 'Dayton', 'State': 'OH', 'Zip': None, 'Country': None, 'Capacity': 13407, 'GeoLat': 39.735556, 'GeoLong': -84.2}"
44,45,VCU,True,VCU,Rams,,20.0,7.0,13.0,3.0,60000045,5.0,Atlantic 10,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/45.png,VCU,"{'StadiumID': 26, 'Active': True, 'Name': 'Stuart C. Siegel Center', 'Address': None, 'City': 'Richmond', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 7500, 'GeoLat': 37.552918, 'GeoLong': -77.4529}"
45,46,STJOE,True,Saint Joseph's,Hawks,,10.0,17.0,4.0,12.0,60000046,5.0,Atlantic 10,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/46.png,STJOE,"{'StadiumID': 128, 'Active': True, 'Name': 'Hagan Arena', 'Address': None, 'City': 'Philadelphia', 'State': 'PA', 'Zip': None, 'Country': None, 'Capacity': 4200, 'GeoLat': 39.995245, 'GeoLong': -75.234806}"
