,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Conference,AdjTempo,AdjTempo.Rank,AdjOE,AdjOE.Rank,Off-eFG%,Off-eFG%.Rank,Off-TO%,Off-TO%.Rank,Off-OR%,Off-OR%.Rank,Off-FTRate,Off-FTRate.Rank,AdjDE,AdjDE.Rank,Def-eFG%,Def-eFG%.Rank,Def-TO%,Def-TO%.Rank,Def-OR%,Def-OR%.Rank,Def-FTRate,Def-FTRate.Rank,NCAA
0,0,0,0,Gonzaga,WCC,73.8,7,126.4,1,61.0,1,16.1,40,30.1,102,35.7,66,89.9,11,47.7,61,19.3,137,23.8,31,25.7,43,334
1,1,1,1,Baylor,B12,67.4,213,125.0,2,56.5,7,16.5,54,37.3,5,26.5,295,91.1,22,48.9,121,24.4,4,30.6,274,31.3,167,108
2,2,2,2,Iowa,B10,69.9,93,123.5,3,54.7,24,13.3,1,30.8,81,32.0,158,96.7,75,48.8,115,16.1,314,29.1,220,22.2,6,91
3,3,4,4,LSU,SEC,70.6,70,120.1,5,52.3,73,15.6,19,31.4,66,34.0,106,99.8,124,48.5,99,17.9,231,32.1,312,29.8,135,269
4,4,5,5,Villanova,BE,64.2,336,119.0,6,53.2,49,13.7,4,27.8,174,30.0,210,96.0,66,51.0,216,18.4,198,25.7,84,25.6,40,58
5,5,6,6,Houston,Amer,64.4,332,118.3,7,50.4,154,16.2,43,39.8,2,31.3,177,89.6,9,43.9,2,21.1,55,27.9,169,41.2,329,6
6,6,7,7,Illinois,B10,70.5,79,118.0,8,55.6,12,18.1,128,32.2,49,37.9,30,88.9,7,46.5,29,16.0,316,22.1,11,30.1,142,102
7,7,8,8,Michigan,B10,66.6,256,117.6,9,54.7,25,16.6,58,29.6,113,30.4,201,87.9,4,44.4,6,14.8,336,24.7,54,24.3,26,95
8,8,9,9,Oregon,P12,67.2,226,117.2,10,54.2,32,16.7,66,29.1,130,26.0,306,95.4,55,50.8,200,20.2,86,27.7,158,26.7,55,245
9,9,10,10,UCLA,P12,63.8,341,116.9,11,52.0,82,15.7,25,30.5,92,31.6,167,94.5,46,50.4,189,17.5,257,25.1,64,28.2,92,253
10,10,11,11,West Virginia,B12,69.2,122,116.8,12,48.9,217,16.8,71,35.9,8,37.9,31,96.3,70,51.0,217,21.0,58,31.1,283,27.9,87,107
11,11,12,12,Colorado,P12,66.1,276,116.3,13,52.4,69,17.1,82,30.8,79,29.5,227,91.2,23,47.9,71,19.8,112,25.6,81,29.1,115,250
12,12,13,13,USC,P12,67.0,235,115.7,14,52.7,60,18.0,122,34.9,16,36.3,59,88.1,6,44.9,7,16.9,286,28.3,186,24.1,24,246
13,13,14,14,Arizona,P12,67.7,198,115.6,15,50.5,138,17.2,89,34.3,24,41.8,7,95.7,59,49.2,131,18.0,223,24.4,45,32.4,195,247
14,14,16,16,Virginia,ACC,59.9,357,114.7,17,55.4,14,15.0,10,22.7,308,21.7,343,93.3,36,48.0,77,15.3,332,22.6,14,24.8,31,22
15,15,17,17,Duke,ACC,68.5,152,114.5,18,53.6,43,18.3,144,32.2,47,23.4,336,97.0,79,51.3,226,19.9,104,29.0,213,31.9,183,26
16,16,18,18,Toledo,MAC,68.7,143,114.3,19,54.0,36,15.6,21,29.7,111,28.5,251,102.6,182,48.6,102,17.6,253,30.8,276,23.7,20,183
17,17,19,19,Davidson,A10,62.5,353,113.9,20,55.3,16,17.3,90,28.1,163,26.9,290,101.8,164,50.0,174,16.1,311,22.4,13,28.6,107,49
18,18,20,20,Notre Dame,ACC,67.2,227,113.8,21,53.9,39,15.7,26,22.0,318,25.9,308,103.7,203,50.8,202,12.7,346,29.8,247,19.7,1,25
19,19,21,21,Georgia Tech,ACC,67.3,223,113.7,22,54.1,35,16.1,36,24.4,261,28.4,253,96.2,68,52.4,269,22.6,18,30.4,266,28.9,112,32
20,20,22,22,BYU,WCC,67.6,206,113.7,23,54.9,22,19.0,175,28.7,145,27.9,268,92.5,30,46.9,38,15.7,327,23.4,23,29.4,125,336
21,21,23,23,Syracuse,ACC,68.6,151,113.7,24,51.2,104,16.3,49,29.2,122,28.3,255,96.9,77,48.0,78,20.2,88,34.0,339,24.1,23,30
22,22,24,24,Creighton,BE,68.7,144,113.4,25,55.0,19,15.7,28,24.6,258,25.7,311,92.8,32,47.0,42,18.0,224,28.3,189,25.5,39,61
23,23,25,25,Purdue,B10,66.1,278,113.3,26,51.0,120,18.6,159,32.8,36,31.7,163,92.9,34,48.8,116,16.8,295,24.3,39,30.1,146,94
24,24,26,26,Connecticut,BE,65.5,309,113.1,27,49.0,216,17.5,101,37.4,4,29.0,239,92.5,29,46.7,36,19.6,125,29.5,235,36.8,292,3
25,25,27,27,Texas,B12,68.6,146,113.1,28,52.9,59,20.7,265,31.1,74,33.9,111,92.8,31,46.0,23,17.8,242,27.5,154,35.9,280,109
26,26,28,28,Wisconsin,B10,64.6,328,113.0,29,49.9,174,13.6,3,23.8,280,26.3,297,90.6,15,47.9,68,17.3,266,25.2,68,28.4,99,96
27,27,29,29,Alabama,SEC,73.3,11,112.9,30,51.7,90,18.6,157,32.2,46,28.8,243,87.8,3,45.8,16,20.5,77,29.2,222,30.7,158,275
28,28,30,30,Utah,P12,67.6,203,112.7,31,53.1,54,18.4,147,23.6,289,28.8,241,97.0,78,51.2,220,19.6,122,29.5,236,27.3,70,248
