,predicted_spread,actual_spread
0,-0.91,-2.0
1,-0.59,-1.0
2,-8.39,-4.0
3,5.78,17.0
4,2.02,-8.0
5,0.11,-5.0
6,3.76,20.0
7,1.58,15.0
8,-1.81,6.0
9,3.19,-6.0
10,-0.18,31.0
11,1.57,-28.0
12,2.51,-46.0
13,0.36,6.0
14,2.0,-10.0
15,-3.9,-2.0
16,1.63,12.0
17,-1.33,-10.0
18,1.2,-4.0
19,3.12,-16.0
20,12.69,-6.0
21,1.12,5.0
22,-0.62,-17.0
23,1.04,24.0
24,1.68,3.0
25,-2.08,5.0
26,1.37,14.0
27,10.12,11.0
28,3.32,37.0
29,4.17,34.0
30,0.23,47.0
31,4.35,2.0
32,-1.63,-22.0
33,5.47,-16.0
34,16.22,49.0
35,-2.88,3.0
36,9.77,36.0
37,3.74,17.0
38,1.75,-5.0
39,-4.88,4.0
40,2.23,35.0
41,0.56,5.0
42,2.0,-3.0
43,-0.81,-2.0
44,9.29,14.0
45,-1.12,3.0
46,4.36,12.0
47,4.15,9.0
48,5.45,11.0
49,-1.31,14.0
50,-2.92,9.0
51,3.67,-1.0
52,1.16,12.0
53,6.57,14.0
54,-0.26,-15.0
55,-3.21,20.0
56,3.13,34.0
57,-5.45,-17.0
58,5.21,-8.0
59,-1.17,-18.0
60,3.13,8.0
61,2.69,-21.0
62,10.26,18.0
63,6.54,19.0
64,3.4,6.0
65,1.94,-13.0
66,5.23,34.0
67,7.34,19.0
68,1.46,-6.0
69,2.29,6.0
70,4.5,-26.0
71,-7.45,-31.0
72,-0.04,2.0
73,8.97,12.0
74,0.46,-8.0
75,4.61,15.0
76,5.84,-29.0
77,-0.98,-11.0
78,3.93,-10.0
79,2.38,29.0
80,10.02,9.0
81,-0.64,-6.0
82,-1.63,20.0
83,5.21,10.0
84,7.96,-8.0
85,0.04,17.0
86,0.8,-1.0
87,3.41,-12.0
88,9.87,18.0
89,-3.15,-9.0
90,7.2,21.0
91,-1.87,-12.0
92,-7.17,9.0
93,-0.54,-40.0
94,5.76,3.0
95,-0.32,-3.0
96,2.41,-11.0
97,-0.69,2.0
98,-4.36,-23.0
99,0.03,9.0
100,1.2,9.0
101,3.71,-25.0
102,4.32,11.0
103,9.17,35.0
104,-2.58,24.0
105,6.08,3.0
106,9.35,17.0
107,0.95,13.0
108,10.36,20.0
109,-0.67,-46.0
110,6.53,23.0
111,3.98,15.0
112,-2.57,-20.0
113,10.9,20.0
114,1.63,-12.0
115,7.97,-20.0
116,-1.66,-29.0
117,0.5,16.0
118,0.62,15.0
119,-2.23,15.0
120,0.76,2.0
121,3.9,-15.0
122,2.21,6.0
123,1.18,-7.0
124,1.55,29.0
125,11.48,15.0
126,3.01,-36.0
127,0.41,29.0
128,4.1,15.0
129,5.05,-3.0
130,2.36,23.0
131,1.67,-8.0
132,6.69,20.0
133,2.83,-9.0
134,3.26,-4.0
135,14.21,18.0
136,2.15,-9.0
137,-2.17,29.0
138,-10.96,-46.0
139,8.43,25.0
140,9.73,-22.0
141,3.71,-23.0
142,0.71,8.0
143,2.54,-1.0
144,5.24,-32.0
145,-5.15,-32.0
146,2.77,8.0
147,2.0,4.0
148,-2.76,16.0
149,4.21,10.0
150,2.0,-23.0
151,-2.25,-12.0
152,2.0,-23.0
153,2.0,8.0
154,7.22,15.0
155,0.53,4.0
156,2.5,10.0
157,3.32,14.0
158,1.54,29.0
159,9.81,-21.0
160,1.49,14.0
161,2.53,-5.0
162,-0.66,14.0
163,-5.23,-26.0
164,3.75,-26.0
165,1.82,17.0
166,5.5,-6.0
167,-1.0,-3.0
168,3.23,-36.0
169,-4.08,-37.0
170,3.83,4.0
171,0.03,23.0
172,3.79,14.0
173,-1.55,-53.0
174,-0.75,-7.0
175,0.63,8.0
176,2.47,11.0
177,-0.25,3.0
178,-1.98,8.0
179,-0.22,-10.0
180,2.61,8.0
181,4.43,20.0
182,5.92,-16.0
183,2.16,17.0
184,0.26,35.0
185,4.83,14.0
186,0.64,31.0
187,2.71,-11.0
188,5.98,-6.0
189,-1.02,10.0
190,6.62,-3.0
191,3.32,37.0
192,1.27,-3.0
193,4.73,42.0
194,1.38,-13.0
195,3.77,-29.0
196,61.02,12.0
197,0.94,37.0
198,2.81,-2.0
199,-5.1,-4.0
200,-0.22,-14.0
201,-0.05,-6.0
202,6.01,34.0
203,2.75,14.0
204,2.88,6.0
205,-5.18,-30.0
206,1.91,-20.0
207,-0.96,-19.0
208,-0.57,13.0
209,4.05,33.0
210,3.21,-14.0
211,10.04,-12.0
212,0.99,-3.0
213,-5.63,-19.0
214,0.1,12.0
215,2.0,3.0
216,2.0,-8.0
217,6.54,-30.0
218,7.62,37.0
219,-0.05,14.0
220,2.0,-33.0
221,-4.0,-10.0
222,-6.34,-6.0
223,0.24,12.0
224,-2.73,5.0
225,1.36,-9.0
226,-2.62,-26.0
227,2.0,-7.0
228,-4.52,-20.0
229,7.36,17.0
230,2.0,5.0
231,-2.13,-21.0
232,2.66,-17.0
233,2.53,19.0
234,7.12,43.0
235,3.29,9.0
236,5.69,4.0
237,-3.19,4.0
238,0.36,-5.0
239,2.09,19.0
240,-1.59,-12.0
241,-0.8,-51.0
242,-2.79,17.0
243,5.33,-29.0
244,3.45,11.0
245,-3.2,14.0
246,-2.78,-9.0
247,7.96,25.0
248,3.69,-19.0
249,0.44,24.0
250,8.45,27.0
251,8.45,19.0
252,-1.18,-34.0
253,-3.99,-20.0
254,11.02,41.0
255,4.67,9.0
256,-0.34,-2.0
257,0.98,7.0
258,4.66,-3.0
259,1.87,14.0
260,4.11,37.0
261,-1.76,5.0
262,0.94,5.0
263,4.31,-3.0
264,2.54,40.0
265,2.0,41.0
266,5.34,21.0
267,7.55,12.0
268,4.94,1.0
269,-2.97,16.0
270,4.58,5.0
271,9.11,34.0
272,-3.49,-3.0
273,3.93,29.0
274,0.2,13.0
275,1.54,7.0
276,14.15,58.0
277,-4.3,-28.0
278,4.25,13.0
279,-0.75,-38.0
280,2.6,13.0
281,-4.27,-16.0
282,10.5,38.0
283,2.55,23.0
284,-0.53,-12.0
285,-0.18,14.0
286,-0.81,-14.0
287,-4.73,-9.0
288,3.04,-3.0
289,-1.78,-9.0
290,5.97,3.0
291,-1.16,12.0
292,-2.15,25.0
293,0.42,12.0
294,5.69,-2.0
295,8.24,52.0
296,10.73,9.0
297,2.62,8.0
298,1.77,-14.0
299,2.0,20.0
300,4.41,13.0
301,5.61,25.0
302,3.4,-15.0
303,1.7,2.0
304,1.04,28.0
305,10.03,24.0
306,10.21,9.0
307,5.41,32.0
308,1.78,-14.0
309,5.76,4.0
310,2.0,-5.0
311,3.62,20.0
312,-1.04,17.0
313,1.15,10.0
314,2.44,-5.0
315,4.42,-8.0
316,1.17,-14.0
317,-1.83,-26.0
318,1.43,3.0
319,2.01,-17.0
320,0.4,3.0
321,-0.05,-14.0
322,5.39,6.0
323,6.15,48.0
324,0.57,15.0
325,2.77,49.0
326,10.84,17.0
327,-0.59,8.0
328,-0.14,-55.0
329,-4.6,11.0
330,-3.35,13.0
331,3.35,19.0
332,2.48,23.0
333,2.0,23.0
334,-4.23,19.0
335,-0.35,-8.0
336,-1.93,-14.0
337,5.12,20.0
338,4.2,-15.0
339,6.53,23.0
340,5.18,-6.0
341,4.61,20.0
342,6.68,-1.0
343,-0.37,-36.0
344,-1.5,23.0
345,-1.66,-20.0
346,3.32,32.0
347,2.51,9.0
348,1.04,-28.0
349,-1.19,48.0
350,0.97,-15.0
351,4.7,10.0
352,1.47,-17.0
353,11.67,58.0
354,5.02,37.0
355,5.29,-7.0
356,1.0,12.0
357,7.89,45.0
358,2.13,15.0
359,2.53,-1.0
360,-0.14,68.0
361,-0.17,-15.0
362,0.12,-5.0
363,4.75,-14.0
364,2.65,9.0
365,-0.88,-14.0
366,4.71,9.0
367,3.32,-11.0
368,2.07,1.0
369,5.84,26.0
370,0.47,26.0
371,3.48,-22.0
372,1.42,-6.0
373,5.42,3.0
374,5.13,31.0
375,0.1,11.0
376,2.57,3.0
377,1.74,9.0
378,1.83,-5.0
379,2.6,-14.0
380,5.82,-9.0
381,8.64,32.0
382,2.0,-39.0
383,2.0,-1.0
384,4.37,40.0
385,5.49,25.0
386,4.15,-9.0
387,6.31,-19.0
388,-1.45,17.0
389,2.0,13.0
390,1.13,10.0
391,3.75,55.0
392,-3.22,14.0
393,1.99,-12.0
394,1.07,-36.0
395,0.96,3.0
396,-6.9,-27.0
397,0.5,-16.0
398,-2.81,-13.0
399,1.62,10.0
400,2.51,-23.0
401,3.44,22.0
402,-2.05,12.0
403,4.21,-21.0
404,2.0,69.0
405,-2.02,-41.0
406,-0.92,39.0
407,1.47,20.0
408,1.54,32.0
409,-5.99,-9.0
410,6.66,16.0
411,-3.24,9.0
412,2.34,-9.0
413,8.61,7.0
414,-4.82,-43.0
415,-1.0,-17.0
416,5.75,15.0
417,3.9,42.0
418,1.47,7.0
419,-1.82,-6.0
420,8.25,-17.0
421,-7.05,-9.0
422,-2.39,-22.0
423,2.04,-28.0
424,-2.37,6.0
425,2.22,21.0
426,6.08,-24.0
427,4.13,14.0
428,4.41,19.0
429,-6.79,-37.0
430,3.83,-22.0
431,4.01,4.0
432,-2.54,-19.0
433,0.35,-23.0
434,5.46,2.0
435,-2.39,-25.0
436,3.5,21.0
437,2.57,19.0
438,-1.29,14.0
439,5.35,8.0
440,-1.29,9.0
441,4.69,11.0
442,0.23,9.0
443,-6.3,-8.0
444,9.07,24.0
445,-3.59,-9.0
446,-9.95,16.0
447,6.68,5.0
448,-1.96,-5.0
449,5.54,12.0
450,-1.5,-17.0
451,0.04,25.0
452,4.28,2.0
453,-5.81,-1.0
454,12.39,11.0
455,7.09,35.0
456,1.48,14.0
457,5.86,-26.0
458,2.74,16.0
459,-2.46,22.0
460,-0.94,-14.0
461,-3.36,9.0
462,0.68,6.0
463,2.79,12.0
464,9.45,13.0
465,-3.12,6.0
466,5.79,17.0
467,4.3,32.0
468,4.19,7.0
469,-0.78,2.0
470,-0.84,14.0
471,6.41,11.0
472,-57.02,-9.0
473,3.32,13.0
474,1.87,14.0
475,0.85,7.0
476,-3.42,-15.0
477,0.52,17.0
478,1.51,-10.0
479,2.34,6.0
480,-0.89,6.0
481,-5.46,-42.0
482,-2.67,-11.0
483,6.97,-8.0
484,4.37,3.0
485,-1.65,-51.0
486,-5.0,-8.0
487,-2.13,4.0
488,-1.16,-4.0
489,6.17,-29.0
490,-0.36,-14.0
491,-1.25,2.0
492,0.86,-7.0
493,1.15,13.0
494,2.1,-3.0
495,3.13,-7.0
496,0.67,-29.0
497,-0.03,14.0
498,1.81,19.0
499,5.64,-10.0
500,-3.51,-15.0
501,0.57,8.0
502,9.24,6.0
503,6.61,-20.0
504,2.39,-1.0
505,-0.42,-29.0
506,3.85,16.0
507,5.17,15.0
508,-1.21,-19.0
509,3.68,29.0
510,5.7,6.0
511,-2.75,-32.0
512,-6.35,17.0
513,5.26,18.0
514,3.29,-34.0
515,-3.68,-8.0
516,5.05,17.0
517,0.81,-28.0
518,0.96,-32.0
